Chan Chun Sing_20250523 jpg.png,"Headshot of an Asian man with short, dark hair wearing a suit and tie."
Chee Hong Tat_website jpg.png,Portrait of a smiling Asian man in a dark suit and patterned tie.
David Neo 20250603 jpg.png,"Man in dark suit and patterned tie, smiling against a white background."
Desmond Lee_20250523 jpg.png,"Headshot of a smiling man with short dark hair, wearing glasses and a light shirt."
Edwin Tong_20250523 jpg.png,"Headshot: Man with short dark hair, wearing glasses, suit jacket, and burgundy tie, smiling."
Gan Kim Yong_20250525 jpg.png,"Man with glasses, graying hair, wearing a dark suit and tie, looking forward."
Indranee Rajah_20250523 jpg.png,"Headshot of a smiling woman in a black suit, with dark short hair and a gold pin."
Jeffrey Siow_20250523 jpg.png,"Portrait of a man with dark hair, wearing a grey suit and dark tie, smiling."
Josephine Teo_20250523 jpg.png,Head and shoulders portrait of a woman with short dark hair in a maroon blazer.
Lawrence Wong_20250523.png,"Man with glasses in dark suit and red tie, smiling against a white background."
Masagos Zulkifli_20250523 jpg.png,"Older man with glasses, wearing a dark suit and blue patterned tie, against a white background."
Min Grace_138 x 187 jpg.png,"Smiling Asian woman with short hair in green blazer, wearing a Rotary International pin."
Min Tan See Leng_20250528 jpg.png,"Older man with glasses wearing suit, white shirt, and blue patterned tie."
Mr LEE Hsien Loong.png,"Lee Hsien Loong, Singapore's Prime Minister, smiles in a suit against a plain background."
Ong Ye Kung_20250523 jpg.png,"Asian man in black suit, red tie, smiling, against a white background."
SMS Faishal 250606 jpg.png,Man in suit and glasses smiling against a plain white background.
Shan_0.png,"Headshot of dark-skinned man in suit and red tie, smiling against a light background."
Vivian Balakrishnan_20250523 jpg.png,"Man in suit and tie, Indonesian flag pin on lapel, on white background."
updated/chan-chun-sing.jpg,"Headshot of a man with short black hair, wearing a dark suit and light blue shirt."
updated/desmond-lee.jpg,"Person with short dark hair, wearing glasses and a white shirt with a blue tie."
updated/dr-tan-see-leng.jpg,"Older Asian man with glasses in a black suit and blue tie, on a white background."
updated/edwin-tong.jpg,Smiling man with glasses in dark suit and red tie against a light gray background.
updated/gan-kim-yong.jpg,"Asian man with glasses, graying hair, wearing a dark suit against a gray background."
updated/indranee-rajah.jpg,"Woman with short dark hair, wearing a white collared shirt and dark jacket, smiling."
updated/josephine-teo.jpg,"Portrait of a woman with short dark hair, wearing a maroon blazer and gold necklace."
updated/masagos-zulkifli.jpg,"Man in suit and glasses, smiling against a white background."
updated/min-grace.jpg,"Smiling Asian woman in a green blazer with a silver pin, against a grey background."
updated/mr-chee-hong-tat.jpg,Asian man in suit and blue tie smiles against a light gray background.
updated/mr-david-neo.jpg,"Headshot of a man with short dark hair, wearing a suit and tie, against a white background."
updated/mr-jeffrey.jpg,"Asian man in a grey suit and patterned tie, smiling at the camera."
updated/ong-ye-kung.jpg,"Headshot of a smiling man in a dark suit with a red patterned tie, against a white background."
updated/shanmugam.jpg,"Portrait of a man with dark hair, wearing a suit and red tie, smiling at the viewer."
updated/sms-faishal.jpg,"Man in suit and glasses, with short graying hair, smiling. He wears a red tie."
updated/vivian-balakrishnan.jpg,"Vivian Balakrishnan in dark suit, Indonesian flag pin, against a white background."
